2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;1;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;0;0;0;0;0;0;0;0;1;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;2;0;0;4;0;1;0;1;1;0;0;10;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;3;0;0;0;0;0;1;0;0;0;4;
LESÃO CORPORAL DOLOSA;15;14;9;9;6;4;4;12;9;11;2;10;105;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;1;8;2;11;5;4;6;11;7;6;3;8;72;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;1;1;0;0;0;0;0;0;0;0;2;1;5;
ROUBO - OUTROS (1);24;25;22;24;18;8;11;21;33;26;21;14;247;
ROUBO DE VEÍCULO;2;3;14;5;5;2;5;3;7;6;3;2;57;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;0;0;0;0;0;1;0;0;0;0;1;
FURTO - OUTROS;50;43;35;44;12;30;19;27;27;31;27;30;375;
FURTO DE VEÍCULO;11;10;11;15;14;9;14;8;12;14;10;9;137;

2013
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;1;1;0;0;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;1;3;0;0;4;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;1;0;0;1;0;0;1;0;0;4;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;0;0;0;0;0;0;0;0;1;0;0;2;
LESÃO CORPORAL DOLOSA;3;5;5;6;5;4;3;2;0;9;6;5;53;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;7;5;7;10;8;10;15;12;7;10;4;102;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;0;0;0;0;0;0;0;0;0;1;0;0;1;
ROUBO - OUTROS (1);19;14;19;29;13;18;16;23;15;21;19;8;214;
ROUBO DE VEÍCULO;3;3;2;2;1;2;3;4;1;7;4;4;36;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;0;1;0;0;0;0;0;0;0;0;1;
FURTO - OUTROS;36;39;36;33;46;37;45;33;41;40;28;36;450;
FURTO DE VEÍCULO;16;17;11;12;13;14;17;11;8;8;7;13;147;

