2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;1;0;0;1;1;0;1;5;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;1;0;0;0;1;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;1;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;8;4;8;11;5;4;0;6;4;18;11;11;90;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;13;10;6;6;5;5;5;6;4;2;2;69;
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;3;0;8;3;1;2;0;1;0;19;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;0;1;1;1;1;1;0;0;0;0;1;0;6;
ROUBO - OUTROS (1);11;9;23;24;9;10;12;14;20;16;16;17;181;
ROUBO DE VEÍCULO;9;5;4;9;13;6;9;10;4;4;8;7;88;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;1;0;1;
FURTO - OUTROS;35;46;48;69;44;39;31;50;35;47;24;30;498;
FURTO DE VEÍCULO;5;2;9;6;2;8;4;6;5;12;2;3;64;

2013
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;1;0;0;0;0;1;0;0;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;0;0;0;0;1;0;0;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;1;2;0;0;0;0;1;1;6;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;4;5;2;1;3;2;3;5;2;8;6;8;49;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;7;8;7;8;5;5;3;7;11;10;7;86;
LESÃO CORPORAL CULPOSA - OUTRAS;0;2;0;0;0;0;1;0;1;0;0;1;5;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;0;0;0;0;0;0;1;0;1;0;2;1;5;
ROUBO - OUTROS (1);8;9;9;11;8;15;11;16;14;19;16;10;146;
ROUBO DE VEÍCULO;12;8;12;9;6;8;5;4;7;6;5;12;94;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;
FURTO - OUTROS;43;33;43;59;41;37;44;49;33;54;37;31;504;
FURTO DE VEÍCULO;18;7;19;12;11;15;7;7;11;14;6;7;134;

