2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;0;0;1;0;1;0;1;1;0;0;2;7;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;1;0;1;0;1;1;0;0;2;7;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;0;2;0;1;0;2;2;4;0;2;0;15;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;3;1;1;0;1;1;1;2;1;0;1;2;14;
LESÃO CORPORAL DOLOSA;35;24;38;39;40;35;25;17;45;35;34;28;395;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;34;36;30;34;44;57;36;38;37;33;39;34;452;
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;0;0;0;0;0;0;0;0;0;1;
LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;
ESTUPRO;3;3;4;0;3;4;1;4;2;4;1;0;29;
ROUBO - OUTROS (1);50;68;91;89;102;63;59;49;77;67;59;54;828;
ROUBO DE VEÍCULO;17;30;41;45;49;19;25;27;18;21;21;21;334;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;0;0;1;1;1;1;0;0;0;0;1;6;
FURTO - OUTROS;59;59;79;76;66;23;78;67;85;56;70;88;806;
FURTO DE VEÍCULO;24;38;44;30;47;45;39;43;42;34;52;37;475;

2013
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;1;1;0;0;1;1;0;1;1;2;2;12;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;1;1;0;0;1;1;0;1;1;2;2;12;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;1;0;2;3;0;0;0;3;1;0;11;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;2;0;1;1;1;2;0;1;1;1;3;14;
LESÃO CORPORAL DOLOSA;5;6;7;10;8;12;6;8;15;54;24;39;194;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;42;27;33;31;50;44;38;45;39;41;42;33;465;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;
ESTUPRO;0;0;0;0;0;0;0;0;0;1;3;0;4;
ROUBO - OUTROS (1);59;42;47;98;52;52;49;34;42;67;41;36;619;
ROUBO DE VEÍCULO;27;20;18;18;18;15;24;25;20;27;23;28;263;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;1;0;0;1;0;0;1;0;1;1;2;7;
FURTO - OUTROS;70;69;63;77;62;61;65;70;52;130;46;46;811;
FURTO DE VEÍCULO;34;38;34;36;60;46;28;54;48;38;34;40;490;

