2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;1;0;0;2;0;0;0;0;1;4;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;0;0;2;0;0;0;0;4;7;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;0;1;0;0;0;0;0;0;0;1;4;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;0;0;0;0;0;0;1;0;0;2;4;
LESÃO CORPORAL DOLOSA;16;1;15;5;20;7;16;14;12;38;5;12;161;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;11;19;16;13;30;14;10;19;27;19;17;23;218;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;2;2;
ROUBO - OUTROS (1);49;51;40;74;28;47;41;40;36;57;43;43;549;
ROUBO DE VEÍCULO;8;13;8;8;5;4;8;5;14;9;13;20;115;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;1;1;2;
ROUBO DE CARGA;0;1;1;0;1;0;1;0;0;0;0;1;5;
FURTO - OUTROS;138;121;102;161;182;154;128;144;135;144;122;120;1.651;
FURTO DE VEÍCULO;36;22;33;29;30;33;44;46;29;27;35;34;398;

