2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
TENTATIVA DE HOMICÍDIO;1;1;0;1;0;0;0;0;0;1;1;0;5;
LESÃO CORPORAL DOLOSA;17;19;17;16;12;6;10;14;7;16;9;10;153;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;16;15;13;14;18;11;9;15;12;12;10;151;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;1;0;1;1;0;0;0;0;0;3;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;1;1;1;2;0;0;2;2;0;0;0;1;10;
ROUBO - OUTROS (1);27;13;20;15;9;9;18;13;12;16;13;10;175;
ROUBO DE VEÍCULO;6;7;15;13;13;10;8;7;7;4;9;1;100;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;0;1;0;0;1;0;0;0;0;0;2;
FURTO - OUTROS;36;27;29;38;35;25;34;28;36;37;34;33;392;
FURTO DE VEÍCULO;4;10;12;16;8;9;9;14;9;3;3;9;106;

2013
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);3;2;1;2;0;0;0;0;0;0;0;1;9;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);3;2;1;2;0;0;0;0;0;0;0;1;9;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;1;0;0;0;0;1;1;3;
HOMICÍDIO CULPOSO OUTROS;0;1;0;0;0;0;0;0;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;0;1;2;1;0;0;1;2;1;0;0;0;8;
LESÃO CORPORAL DOLOSA;2;2;5;4;2;4;5;10;5;20;11;14;84;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;15;12;11;17;14;8;21;10;17;14;10;12;161;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;
ESTUPRO;0;0;0;0;0;0;0;0;0;2;2;0;4;
ROUBO - OUTROS (1);11;18;4;10;15;6;17;24;6;19;10;12;152;
ROUBO DE VEÍCULO;9;7;3;8;10;2;6;7;11;12;7;6;88;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;1;0;0;0;0;1;0;0;0;0;2;
FURTO - OUTROS;25;30;32;47;36;31;37;29;33;29;37;33;399;
FURTO DE VEÍCULO;9;3;5;2;6;13;15;14;7;10;5;3;92;

